gene_symbol,Morn5
mouse_life_stage,Early adult
analysis_id,78iptr8bhlgszpo
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.3676927
mouse_strain,C57BL
gene_accession_id,MGI:1922745
parameter_id,MGP_IMM_078_001
