analysis_id,28uh51b3p8f8728
gene_accession_id,MGI:1914561
parameter_name,B2B Cells
parameter_id,IMPC_IMM_065_001
mouse_strain,C57BL
gene_symbol,Nanp
mouse_life_stage,E18.5
pvalue,0.8559799
