parameter_name,RR
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
pvalue,0.0838359
gene_symbol,Cds2
mouse_strain,C57BL
analysis_id,31vgc69e7w361wk
parameter_id,IMPC_ECG_004_001
