analysis_id,02dn29w5qn2z097
mouse_strain,C57BL
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
gene_symbol,Tox
pvalue,0.4453764
parameter_id,IMPC_XRY_067_001
parameter_name,Caudal processes
