parameter_name,LVIDd
gene_accession_id,MGI:2685053
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
gene_symbol,Ntmt2
analysis_id,rmw1730k790u38g
pvalue,0.3451171
mouse_life_stage,Early adult
