analysis_id,10j96z092fa07q6
parameter_name,Periphery average speed
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8132036
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
parameter_id,HRWLLA_OFD_013_001
