gene_symbol,Fpgs
analysis_id,6hwe02cn709uv9z
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:95576
parameter_name,Heart looping
mouse_strain,C57BL
pvalue,0.07627722
mouse_life_stage,Early adult
