parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
gene_symbol,Lamb3
gene_accession_id,MGI:99915
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,8n9s3r36dbg9le5
pvalue,0.8141766
