analysis_id,m72246mxgfq833c
mouse_life_stage,E9.5
gene_symbol,Hspa5
parameter_name,Fat mass
gene_accession_id,MGI:95835
mouse_strain,C57BL
pvalue,0.4212072
parameter_id,IMPC_DXA_002_001
