analysis_id,9gz2t1te5f0224x
pvalue,0.0617738
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_006_001
mouse_strain,C57BL
parameter_name,Response amplitude - S
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
