analysis_id,757olpa50955h58
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_name,% Pre-pulse inhibition - PPI1
gene_accession_id,MGI:1917604
parameter_id,IMPC_ACS_033_001
mouse_life_stage,Early adult
pvalue,0.9691977
