analysis_id,s53q049pc89rq0j
pvalue,0.934892
mouse_strain,C57BL
gene_accession_id,MGI:95835
mouse_life_stage,E12.5
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Hspa5
parameter_id,IMPC_ACS_035_001
