gene_symbol,Ift74
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:1914944
analysis_id,6wwtfly201613kk
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
pvalue,0.5154384
mouse_strain,C57BL
