analysis_id,x663cb6w76ex31b
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
mouse_strain,C57BL
pvalue,0.1720598
