parameter_name,White blood cell count
gene_accession_id,MGI:95576
parameter_id,HMGULA_HEM_001_001
gene_symbol,Fpgs
mouse_strain,C57BL
analysis_id,1hxiu58jh9616w6
mouse_life_stage,Early adult
pvalue,0.9459243
