analysis_id,7sibx1e98e11io1
parameter_id,IMPC_HEM_030_001
gene_accession_id,MGI:1916363
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8960682
gene_symbol,Alkbh3
parameter_name,Neutrophil cell count
