parameter_name,Haemoglobin
parameter_id,ESLIM_016_001_003
analysis_id,x6101f3c5gqm6k8
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
mouse_strain,C57BL
gene_symbol,Zc2hc1a
pvalue,0.7399256
