parameter_name,Clavicle
pvalue,0.6838882
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_id,IMPC_XRY_007_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,921xow4041mnpq5
