parameter_name,B2B Cells
pvalue,0.442932
analysis_id,1zqf1yb9v535639
mouse_strain,C57BL
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
parameter_id,IMPC_IMM_065_001
mouse_life_stage,E12.5
