parameter_name,Right kidney weight
mouse_life_stage,Early adult
analysis_id,lo014v7q4u04ei1
gene_accession_id,MGI:88461
gene_symbol,Col6a3
parameter_id,IMPC_OWT_004_001
pvalue,0.1653948
mouse_strain,C57BL
