analysis_id,zf91ll2k8ugyq94
pvalue,0.942237
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
mouse_life_stage,Early adult
gene_symbol,Steap3
parameter_name,Tibia
