parameter_id,MGP_PBI_002_001
pvalue,0.4354876
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
analysis_id,61xqkzn8rxg6n0c
parameter_name,Alpha beta T cell percentage
