analysis_id,9h4tq7dm1756j85
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,CD8+ KLRG1+ alpha beta T cell number
gene_symbol,Nipal3
gene_accession_id,MGI:1921802
pvalue,0.6612642
parameter_id,MGP_PBI_033_001
