parameter_name,lens opacity
parameter_id,M-G-P_014_001_010
gene_accession_id,MGI:1914050
pvalue,0.3927477
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
mouse_strain,C57BL
analysis_id,y0e16058p871a68
