parameter_id,JAXLA_CSD_077_001
gene_accession_id,MGI:107414
parameter_name,Contact righting
mouse_strain,C57BL
analysis_id,9t7b53y7103092o
pvalue,0.6745151
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
