parameter_name,Heart looping
analysis_id,frwajht579138d9
mouse_life_stage,Middle aged adult
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:2446186
pvalue,0.6062469
mouse_strain,C57BL
gene_symbol,Lpgat1
