parameter_name,Body position
analysis_id,67sjz17ele9v021
mouse_strain,C57BL
pvalue,0.1402596
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_001
gene_symbol,F2
gene_accession_id,MGI:88380
