analysis_id,d85bhhiuw8503a4
gene_symbol,Kifap3
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.7511333
parameter_id,ESLIM_008_001_013
