analysis_id,841895w6ruim0p4
gene_symbol,Hpca
parameter_name,Body weight
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
gene_accession_id,MGI:1336200
pvalue,0.3790237
mouse_life_stage,Middle aged adult
