analysis_id,3wh0536l21p0h60
pvalue,0.3983997
parameter_id,GMC_906_001_005
parameter_name,Potassium
mouse_strain,C57BL
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
mouse_life_stage,Early adult
