analysis_id,dop6z366vfz062i
mouse_strain,C57BL
gene_accession_id,MGI:1921688
pvalue,0.9704152
gene_symbol,Clvs1
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_013_001
parameter_name,Periphery average speed
