analysis_id,e1k63wu6ha2z5yc
gene_symbol,Frmpd1
pvalue,0.4075042
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_051_002
gene_accession_id,MGI:2446274
parameter_name,Hindlimb nail - number
