analysis_id,5751o8s10k8yx4s
parameter_name,CD11b-low cDC - % of cDC
mouse_life_stage,Early adult
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
pvalue,0.9960918
parameter_id,MGP_IMM_067_001
mouse_strain,C57BL
