parameter_name,Eosinophil differential count
analysis_id,2j5700313pmh5j1
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Wars2
gene_accession_id,MGI:1917810
parameter_id,IMPC_HEM_035_001
pvalue,0.2598917
