analysis_id,31z1xi24ll8wklo
gene_symbol,Slx4ip
pvalue,0.4142059
parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:1921493
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
mouse_life_stage,Early adult
