analysis_id,09575x43p7kf7f8
gene_accession_id,MGI:1924315
pvalue,0.5685885
mouse_strain,C57BL
parameter_name,Macrophages - % of CD45+
parameter_id,MGP_IMM_121_001
gene_symbol,Ints7
mouse_life_stage,E9.5
