analysis_id,slm5404m8wry24x
gene_accession_id,MGI:97838
pvalue,0.5442902
gene_symbol,Eprs1
parameter_name,% Pre-pulse inhibition - PPI4
parameter_id,IMPC_ACS_036_001
mouse_strain,C57BL
mouse_life_stage,E9.5
