parameter_name,Weight
mouse_strain,C57BL
analysis_id,fx157b29lo70dow
gene_symbol,Mapkap1
mouse_life_stage,E12.5
parameter_id,CCP_LFO_001_001
pvalue,1.396571
gene_accession_id,MGI:2444554
