Parameter_name,Cleft palate
mouse_life_stage,E15.5
pvalue,0.893285
Parameter_id,IMPC_GEP_076_001
gene_symbol,Fgb
Mouse_strain,C57BL
analysis_id,16fs314ui3y25j5
gene_accession_id,MGI:99501
