analysis_id,1ao9d25nbj15c8d
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_id,IMPC_GEL_029_001
gene_symbol,Secisbp2l
pvalue,0.9782549
parameter_name,Midbrain
mouse_life_stage,Late adult
