analysis_id,v30nwsfcbnec8k1
parameter_name,CD4+ T helper cells - % of CD45+
pvalue,0.9682063
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,MGP_IMM_072_001
