analysis_id,03e807g5d1y20h1
parameter_id,ESLIM_008_001_001
gene_symbol,Hrnr
mouse_life_stage,Early adult
pvalue,0.6399768
gene_accession_id,MGI:3046938
mouse_strain,C57BL
parameter_name,Body position
