gene_symbol,Gja10
analysis_id,rtpvn49c19cr73f
gene_accession_id,MGI:1339969
mouse_life_stage,Early adult
parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
pvalue,0.6448849
