analysis_id,i2pol2w489139h2
gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
gene_accession_id,MGI:2685277
pvalue,0.3140273
mouse_life_stage,E18.5
