parameter_id,IMPC_GEP_017_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5858696
analysis_id,q16g4766l35xiy8
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
parameter_name,Facial Morphology
