gene_symbol,Slx4ip
parameter_id,ESLIM_007_001_015
mouse_strain,C57BL
analysis_id,9o5r79n397krpl2
gene_accession_id,MGI:1921493
pvalue,0.9725396
parameter_name,Number of centre entries
mouse_life_stage,Early adult
