analysis_id,n4u63djkxgf297w
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
parameter_id,MGP_MLN_013_001
pvalue,0.2848641
mouse_strain,129SV
gene_symbol,Cds2
