mouse_strain,129SV
parameter_name,PP4 + pulse startle magnitude
pvalue,0.1566931
parameter_id,ESLIM_011_001_010
mouse_life_stage,Early adult
gene_symbol,Mms22l
analysis_id,m8127907910ugko
gene_accession_id,MGI:2684980
