gene_symbol,Cdin1
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
mouse_strain,C57BL
analysis_id,q809qyi2v4a9451
pvalue,0.09685254
parameter_name,Total cholesterol
