parameter_name,Whole arena resting time
pvalue,0.8405858
gene_accession_id,MGI:103302
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
analysis_id,21z32as4934mm89
gene_symbol,Bmp7
mouse_life_stage,Early adult
