analysis_id,1m9u20t9nb525l3
gene_accession_id,MGI:1918025
parameter_name,Embryo turning
pvalue,0.7127877
parameter_id,IMPC_GEL_011_001
mouse_strain,129SV
gene_symbol,Zmynd8
mouse_life_stage,Early adult
