gene_symbol,Hspa5
parameter_id,ESLIM_011_001_009
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:95835
analysis_id,vdhjh32wnz379v6
parameter_name,PP3 + pulse startle magnitude
pvalue,0.3758044
