gene_symbol,Nemp2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
analysis_id,4ka501i1wl3lr54
pvalue,0.2281168
parameter_name,Body weight
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
