parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Snap23
pvalue,0.8148635
analysis_id,fxp8xy9se15zyn2
gene_accession_id,MGI:109356
parameter_id,M-G-P_007_001_008
