gene_symbol,Toporsl
gene_accession_id,MGI:1915524
parameter_name,Click-evoked ABR threshold
analysis_id,8ms0w1am9j2fpy1
mouse_strain,C57BL
pvalue,0.4369614
parameter_id,IMPC_ABR_002_001
mouse_life_stage,Early adult
