analysis_id,m2366o970wz1xt1
parameter_name,Pale yolk sac
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
pvalue,0.6905301
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
