parameter_name,Creatinine
mouse_strain,C57BL
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
parameter_id,JAX_URI_002_001
gene_symbol,Snap23
analysis_id,75222875kgs59fx
pvalue,0.2463133
