analysis_id,o9m6l2vs8vpykjk
mouse_strain,C57BL
parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:1915087
pvalue,0.5328434
mouse_life_stage,E9.5
gene_symbol,Tiprl
parameter_id,IMPC_IMM_025_001
