analysis_id,8bzp6u28nea5w04
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9349894
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
