parameter_name,Pale yolk sac
gene_symbol,Cntfr
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_GEL_017_002
analysis_id,p55q26xl169u6a5
gene_accession_id,MGI:99605
pvalue,0.1600947
