analysis_id,09ho9qzg37821f6
pvalue,0.907471
gene_accession_id,MGI:99501
parameter_id,TCPLA_XRY_033_001
gene_symbol,Fgb
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_name,Tibia length
