parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
analysis_id,v41t23d0a3el0b6
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_life_stage,Early adult
mouse_strain,129SV
pvalue,0.05207834
