analysis_id,w7k9z846695b75u
mouse_strain,C57BL
pvalue,0.8603804
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_name,Periphery permanence time
