analysis_id,53148antf80896j
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of CD45+
parameter_id,MGP_IMM_089_001
pvalue,0.1073686
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
mouse_life_stage,Early adult
